_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest POI,Distance(Km)
4692919,2017-06-21 19:11:02.453,CA,AB,Edmonton,53.44074,-113.58914,POI1 or POI2,3676.4870404123494
4693028,2017-06-21 12:11:00.460,CA,ON,Pickering,43.8509,-79.0717,POI1 or POI2,1261.7638274092315
4693175,2017-06-21 14:11:01.210,CA,ON,North York,43.7786,-79.4424,POI1 or POI2,1292.5260784193617
4693264,2017-06-21 05:11:02.407,CA,SK,Saskatoon,52.13461,-106.57333,POI1 or POI2,3219.7745614856126
4693280,2017-06-21 17:10:59.010,CA,AB,Edmonton,53.5451,-113.512,POI1 or POI2,3670.1256813810446
4693393,2017-06-21 22:10:59.967,CA,QC,Lasalle,45.4363,-73.6215,POI3,811.3739195473469
4693689,2017-06-21 06:11:01.837,CA,SK,Saskatoon,52.1564,-106.55183,POI1 or POI2,3218.1559789934045
4693940,2017-06-21 16:11:00.800,CA,AB,Edmonton,53.6229,-113.4186,POI1 or POI2,3663.0659621454624
4694122,2017-06-21 18:10:59.590,CA,ON,York,43.675,-79.4811,POI1 or POI2,1298.1488381234522
4694323,2017-06-21 13:11:00.730,CA,AB,Coronation,52.0833,-111.45,POI1 or POI2,3551.5847665289316
4694396,2017-06-21 00:11:02.423,CA,AB,Fort Mcmurray,56.744,-111.4841,POI1 or POI2,3522.783143779309
4694872,2017-06-21 19:11:05.520,CA,QC,Montréal,45.4689,-73.6055,POI3,810.0063714206169
4694971,2017-06-21 17:11:05.373,CA,AB,Canmore,51.0855,-115.342,POI1 or POI2,3834.5050589160287
4695340,2017-06-21 11:11:09.417,CA,MB,Winnipeg,49.8848,-97.2936,POI1 or POI2,2582.887495464754
4695632,2017-06-21 22:11:09.917,CA,AB,Edmonton,53.58422,-113.41613,POI1 or POI2,3663.363794035311
4695874,2017-06-21 14:11:14.183,CA,AB,St Albert,53.65176,-113.61846,POI1 or POI2,3675.81364898819
4695949,2017-06-21 02:11:14.330,CA,AB,Edmonton,53.6288,-113.476,POI1 or POI2,3666.757223370271
4695967,2017-06-21 06:11:14.343,CA,AB,Edmonton,53.50737,-113.4745,POI1 or POI2,3668.12447325099
4696171,2017-06-21 07:11:17.040,CA,SK,Bruno,52.2865,-105.517,POI1 or POI2,3147.0194682667898
4696172,2017-06-21 16:11:18.473,CA,AB,Cochrane,51.1834,-114.4687,POI1 or POI2,3772.649845696583
4696465,2017-06-21 14:11:16.553,CA,SK,Saskatoon,52.1168,-106.6345,POI1 or POI2,3224.06817203981
4696532,2017-06-21 21:11:18.190,CA,AB,Canmore,51.088,-115.34,POI1 or POI2,3834.314467481941
4696815,2017-06-21 13:11:17.013,CA,AB,Spirit River,55.78052,-118.8284,POI1 or POI2,3981.252902495589
4696944,2017-06-21 16:11:20.613,CA,AB,Edmonton,53.44217,-113.4452,POI1 or POI2,3667.002103413528
4697293,2017-06-21 00:11:21.980,CA,ON,Mississauga,43.56757,-79.67534,POI1 or POI2,1316.1308853804348
4697406,2017-06-21 16:11:23.593,CA,AB,Edmonton,53.6075,-113.48718,POI1 or POI2,3667.7440246676865
4697634,2017-06-21 22:11:29.287,CA,ON,Brampton,43.65219,-79.7601,POI1 or POI2,1320.5584744301573
4697785,2017-06-21 08:11:29.300,CA,MB,Winnipeg,49.8737,-97.0874,POI1 or POI2,2568.160742704342
4697917,2017-06-21 00:11:29.333,CA,ON,Sudbury,46.4707,-80.9707,POI1 or POI2,1377.057281201781
4698510,2017-06-21 19:11:29.193,CA,ON,North York,43.8018,-79.36293,POI1 or POI2,1285.7396502411907
4698572,2017-06-21 13:11:29.197,CA,ON,Toronto,43.71454,-79.39692,POI1 or POI2,1290.561532952282
4698715,2017-06-21 01:11:29.210,CA,ON,Toronto,43.6512,-79.3761,POI1 or POI2,1290.5452660502785
4698855,2017-06-21 14:11:27.340,CA,AB,Sherwood Park,53.55065,-113.27569,POI1 or POI2,3654.5481203132476
4698935,2017-06-21 07:11:27.563,CA,ON,Toronto,43.65398,-79.37461,POI1 or POI2,1290.3571930433518
4699140,2017-06-21 11:11:31.097,CA,AB,Spruce Grove,53.55571,-113.91254,POI1 or POI2,3696.2714265278128
4699199,2017-06-21 09:11:31.350,CA,AB,Beaumont,53.3753,-113.4585,POI1 or POI2,3668.7139510156103
4699407,2017-06-21 10:11:30.940,CA,QC,Gatineau,45.43504,-75.71236,POI3,974.2540756669235
4699553,2017-06-21 07:11:31.200,CA,AB,Edmonton,53.57915,-113.43071,POI1 or POI2,3664.3807176637447
4699617,2017-06-21 19:11:31.563,CA,QC,Montréal,45.5435,-73.6067,POI3,809.8840943259149
4699676,2017-06-21 08:11:33.563,CA,AB,Edmonton,53.52275,-113.60164,POI1 or POI2,3676.2843405782687
4699717,2017-06-21 12:11:34.063,CA,BC,Vancouver,49.2617,-123.138,POI1 or POI2,4422.08623557246
4699904,2017-06-21 00:11:31.493,CA,ON,Oshawa,43.88904,-78.86177,POI1 or POI2,1244.4283496032667
4700089,2017-06-21 14:11:33.023,CA,ON,Toronto,43.6504,-79.3717,POI1 or POI2,1290.2217033652496
4700139,2017-06-21 13:11:31.120,CA,QC,Lasalle,45.42,-73.64,POI3,812.8825130685275
4700205,2017-06-21 05:11:32.517,CA,BC,Surrey,49.1767,-122.87016,POI1 or POI2,4406.45873659684
4700289,2017-06-21 12:11:31.283,CA,QC,Saint-Leonard,45.5866,-73.5973,POI3,809.0669461682288
4700357,2017-06-21 12:11:36.050,CA,BC,Vancouver,49.27792,-123.1232,POI1 or POI2,4420.513750780088
4700451,2017-06-21 21:11:36.503,CA,QC,Laval,45.5728,-73.73114,POI3,819.5008439013986
4700481,2017-06-21 04:11:39.277,CA,AB,Edmonton,53.59261,-113.46682,POI1 or POI2,3666.587586471505
4700769,2017-06-21 02:11:39.773,CA,ON,Toronto,35.72445,51.4101,POI4,8874.33916241473
4700802,2017-06-21 00:11:35.800,CA,ON,Petrolia,42.88486,-82.47845,POI4,1554.9931270894049
4700828,2017-06-21 02:11:36.343,CA,MB,Winnipeg,49.924,-97.20582,POI1 or POI2,2576.489855559459
4700905,2017-06-21 13:11:37.207,CA,BC,Abbotsford,49.05022,-122.32839,POI1 or POI2,4373.187313773306
4701056,2017-06-21 14:11:38.750,CA,ON,Thornhill,43.7994,-79.4314,POI1 or POI2,1291.155837883968
4701130,2017-06-21 04:11:39.257,CA,QC,Saint-Eustache,45.579,-73.9054,POI3,833.040055788742
4701408,2017-06-21 18:11:38.693,CA,BC,Vancouver,49.28027,-123.10684,POI1 or POI2,4419.304614083217
4701493,2017-06-21 17:11:39.180,CA,QC,St.-Hyacinthe,45.6659,-72.9542,POI3,759.0406517887203
4701499,2017-06-21 09:11:40.310,CA,AB,Calgary,51.12797,-114.21276,POI1 or POI2,3756.219608375395
4701597,2017-06-21 11:11:36.970,CA,BC,Courtenay,49.66846,-124.97769,POI1 or POI2,4534.404446145056
4701729,2017-06-21 17:11:41.580,CA,AB,Cayley,49.93035,-112.78407,POI1 or POI2,3682.1372414686616
4701890,2017-06-21 16:11:44.433,CA,ON,Brampton,43.788,-79.737,POI1 or POI2,1315.347952182507
4702329,2017-06-21 10:11:40.580,CA,ON,Toronto,43.65632,-79.45329,POI1 or POI2,1296.4514590432584
4702604,2017-06-21 08:11:44.467,CA,SK,Regina,50.48502,-104.59941,POI1 or POI2,3097.56140282146
4702651,2017-06-21 17:11:42.540,CA,AB,Edmonton,53.58661,-113.49073,POI1 or POI2,3668.2275168914744
4702776,2017-06-21 01:11:44.370,CA,QC,Montréal,45.53422,-73.60037,POI3,809.4137256904621
4703004,2017-06-21 21:11:44.467,CA,AB,Camrose,53.01386,-112.81376,POI1 or POI2,3630.6694599737343
4703272,2017-06-21 15:11:46.323,CA,QC,Montréal,45.5294,-73.58,POI3,807.8404058416081
4703690,2017-06-21 21:11:46.370,CA,ON,Scarborough,43.77916,-79.32005,POI3,1282.9391499641958
4703754,2017-06-21 05:11:46.560,CA,QC,Rimouski,48.42729,-68.54842,POI3,538.2845466102274
4703885,2017-06-21 06:11:49.623,CA,QC,Rimouski,48.451,-68.527,POI3,538.7456583103558
4703982,2017-06-21 17:11:47.383,CA,ON,Cornwall,45.0467,-74.7455,POI3,901.9482778462103
4704077,2017-06-21 22:11:50.280,CA,QC,Montréal,45.5365,-73.5737,POI3,807.3327017206345
4704625,2017-06-21 19:11:54.427,CA,BC,Vancouver,49.2344,-123.1451,POI1 or POI2,4423.504926720891
4705258,2017-06-21 20:11:57.713,CA,AB,Edmonton,53.5514,-113.4916,POI1 or POI2,3668.7102392136667
4705380,2017-06-21 09:12:01.543,CA,BC,Prince George,53.91445,-122.75735,POI1 or POI2,4263.3091462936445
4705972,2017-06-21 17:12:01.460,CA,ON,Walkerton,44.1343,-81.1501,POI1 or POI2,1417.9900698262327
